Wed May 07 21:16:31 2014    myapp.profile

         1542233 function calls (1519371 primitive calls) in 34.620 seconds

   Ordered by: internal time, cumulative time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      428    0.007    0.000    0.011    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:373(remove_widget)
      462    0.007    0.000    0.018    0.000 C:\Python27\lib\site-packages\kivy\clock.py:455(create_trigger)
     1878    0.007    0.000    0.007    0.000 {method 'join' of 'str' objects}
     1712    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\modules\inspector.py:289(update_widget_graphics)
      404    0.007    0.000    4.270    0.011 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:630(on_draw)
     1294    0.007    0.000    0.024    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:464(_get_text)
      947    0.006    0.000    0.018    0.000 {method 'decode' of 'str' objects}
     3424    0.006    0.000    0.006    0.000 {method 'pop' of 'collections.deque' objects}
     3004    0.006    0.000    0.006    0.000 {_ctypes.byref}
      165    0.006    0.000    0.012    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:391(pop)
      947    0.006    0.000    0.006    0.000 {_codecs.utf_8_decode}
     1447    0.006    0.000    0.006    0.000 C:\Python27\lib\site-packages\kivy\factory.py:112(__getattr__)
      434    0.006    0.000    0.009    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:63(_get_vbar)
      618    0.006    0.000    0.014    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:204(__eq__)
       27    0.006    0.000    0.022    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1412(_refresh_text)
       70    0.006    0.000    0.202    0.003 C:\Python27\lib\site-packages\kivy\base.py:205(post_dispatch_input)
      165    0.005    0.000    0.010    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:383(push)
      947    0.005    0.000    0.011    0.000 C:\Python27\lib\encodings\utf_8.py:15(decode)
   575/49    0.005    0.000    0.017    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:298(on_touch_up)
      172    0.005    0.000    0.037    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:567(set_center_y)
        1    0.005    0.005    0.013    0.013 C:\Python27\lib\site-packages\kivy\lib\osc\oscAPI.py:30(<module>)
     1067    0.005    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\lang.py:925(create_missing)
      259    0.005    0.000    0.138    0.001 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:93(on_value)
      102    0.005    0.000    0.015    0.000 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:288(on__sizes)
      428    0.005    0.000    0.020    0.000 C:\Python27\lib\site-packages\kivy\uix\layout.py:80(remove_widget)
      272    0.005    0.000    0.005    0.000 {kivy.graphics.texture.texture_create}
      439    0.005    0.000    0.005    0.000 {method 'unbind' of 'kivy._event.EventDispatcher' objects}
      520    0.005    0.000    0.005    0.000 {_weakref.proxy}
      671    0.005    0.000    1.789    0.003 C:\Users\Divine\Documents\GitHub\3dl\adapters.py:36(get_view)
     1712    0.005    0.000    0.005    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\retaintouch.py:36(process)
     1344    0.005    0.000    0.006    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1391(match)
     1414    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\lang.py:722(_ensure_app)
      560    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\clock.py:232(__init__)
      303    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:102(<module>)
        1    0.004    0.004    0.004    0.004 C:\Python27\lib\site-packages\kivy\lib\osc\OSC.py:32(<module>)
      589    0.004    0.000    0.005    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:171(resolve_font_name)
     1782    0.004    0.000    0.004    0.000 {method 'popleft' of 'collections.deque' objects}
     1712    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\dejitter.py:48(process)
      498    0.004    0.000    0.006    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:219(collide_point)
      524    0.004    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\clock.py:283(release)
       16    0.004    0.000    0.013    0.001 C:\Python27\lib\site-packages\kivy\uix\boxlayout.py:113(do_layout)
        1    0.004    0.004    0.004    0.004 C:\Python27\lib\site-packages\kivy\input\motionevent.py:82(<module>)
      771    0.004    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:223(_mouse_handler)
      269    0.004    0.000    0.039    0.000 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:110(add_widget)
      157    0.004    0.000    0.034    0.000 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:363(_on_progress)
  600/102    0.003    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:408(get_root_window)
      778    0.003    0.000    0.003    0.000 {method 'register_event_type' of 'kivy._event.EventDispatcher' objects}
      434    0.003    0.000    0.003    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      219    0.003    0.000    0.142    0.001 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:109(apply_distance)
      434    0.003    0.000    0.011    0.000 C:\Python27\lib\re.py:164(split)
   379/36    0.003    0.000    0.021    0.001 C:\Python27\lib\site-packages\kivy\uix\widget.py:269(on_touch_down)
     1712    0.003    0.000    0.003    0.000 {pygame.display.get_active}
      435    0.003    0.000    0.006    0.000 C:\Python27\lib\re.py:226(_compile)
      934    0.003    0.000    0.003    0.000 {method 'add' of 'kivy.graphics.instructions.Canvas' objects}
      570    0.003    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:6(<module>)
      219    0.003    0.000    0.137    0.001 C:\Python27\lib\site-packages\kivy\effects\kinetic.py:112(apply_distance)
      404    0.003    0.000    0.305    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:554(on_flip)
      956    0.003    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:376(_get_system_size)
      165    0.003    0.000    0.017    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:398(apply_transform_2d)
      635    0.003    0.000    0.003    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:14(_get_target_widget)
      183    0.003    0.000    0.372    0.002 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:429(_texture_fill)
     1058    0.003    0.000    0.003    0.000 {min}
   113/43    0.002    0.000    1.613    0.038 C:\Python27\lib\site-packages\kivy\uix\layout.py:59(__init__)
       38    0.002    0.000    0.008    0.000 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1722(_create_line_label)
      271    0.002    0.000    0.005    0.000 {method 'add_reload_observer' of 'kivy.graphics.texture.Texture' objects}
      147    0.002    0.000    0.079    0.001 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:473(__init__)
      172    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:349(scale_for_screen)
      403    0.002    0.000    0.003    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:509(on_touch_move)
      230    0.002    0.000    0.121    0.001 C:\Python27\lib\site-packages\kivy\lang.py:1297(custom_callback)
   113/43    0.002    0.000    1.615    0.038 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:64(__init__)
      543    0.002    0.000    0.002    0.000 {method 'rfind' of 'unicode' objects}
        1    0.002    0.002    0.003    0.003 C:\Python27\lib\ctypes\wintypes.py:6(<module>)
      722    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:535(_set_text_size)
      655    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\clock.py:218(_hash)
      112    0.002    0.000    0.005    0.000 <string>:7(<module>)
      183    0.002    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\core\image\__init__.py:48(__init__)
     1143    0.002    0.000    0.002    0.000 {abs}
      170    0.002    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\uix\behaviors.py:96(on_touch_move)
